"","sourcemonth","yrofchange","segment","pryearsupply","newbuild","convertin","rmadditions","rmclosures","convertout","rmsremoved","gainloss","supe","fiveyrprsupply","fiveyrnewbuild","fiveyrconvertin","fiveyrrmadditions","fiveyrclosures","fiveyrconvertout","fiveyrrmsremoved","fiveyrgainloss"
"1",2007-11-01,2007-01-01,"ecous",735164,8866,46536,1740,-4219,-34089,-2027,16807,751971,748172,32433,207617,8247,-24646,-204231,-15621,3799
"2",2008-11-01,2008-01-01,"ecous",745675,11391,36214,1582,-3606,-30512,-2334,12735,758410,730233,36484,208059,8472,-24009,-184060,-16769,28177
"3",2009-11-01,2009-01-01,"ecous",756271,9607,34097,1041,-3182,-30180,-2416,8967,765238,732994,41534,200515,8421,-22676,-178774,-16776,32244
"4",2010-11-01,2010-01-01,"ecous",767915,4086,31879,1464,-3878,-33425,-2536,-2410,765021,732644,40478,193043,8382,-19771,-175286,-14231,32615
"5",2011-11-01,2011-01-01,"ecous",782921,1745,35287,1645,-2435,-28664,-2403,5175,788230,748295,37895,195956,8243,-18571,-168952,-14452,40119
"6",2012-11-01,2012-01-01,"ecous",783690,2731,46192,1837,-4935,-43501,-2878,-554,783245,764069,31995,197247,8593,-20437,-182760,-15531,19107
"7",2013-12-01,2013-01-01,"ecous",772098,3298,62973,2180,-5598,-54712,-2588,5553,772313,771350,23995,182653,13233,-19947,-251356,-18294,-69716
"8",2014-12-01,2014-01-01,"ecous",772313,4326,45509,1728,-3568,-48754,-2490,-3249,774363,779013,16550,187505,13191,-20617,-269773,-17376,-90520
"9",2007-11-01,2007-01-01,"indus",1467436,9328,66013,10590,-15202,-54394,-4251,12084,1479520,1462148,56900,339289,49445,-163592,-217527,-47143,17372
"10",2008-11-01,2008-01-01,"indus",1481497,18571,64061,12039,-9365,-48707,-3172,33427,1514924,1485721,66957,344989,58028,-150786,-239826,-50159,29203
"11",2009-11-01,2009-01-01,"indus",1504550,14629,51008,5896,-7106,-56839,-2944,4644,1509194,1480148,73133,334537,55371,-124208,-263817,-45970,29046
"12",2010-11-01,2010-01-01,"indus",1483947,11688,64726,5248,-8092,-47412,-2922,23236,1507104,1464069,73554,330978,52760,-105078,-274180,-35047,42987
"13",2011-11-01,2011-01-01,"indus",1491897,3634,67593,6245,-13659,-49104,-1647,13062,1505148,1474519,62332,326220,47655,-109729,-269349,-26862,30267
"14",2012-11-01,2012-01-01,"indus",1517362,7084,55642,5833,-10936,-46359,-1753,9511,1527130,1482527,59277,317776,42275,-102362,-251855,-21935,43176
"15",2013-12-01,2013-01-01,"indus",1531326,7011,57804,5172,-4123,-53444,-2680,9740,1537960,1505021,49641,178195,34919,-72674,-265753,-26727,-102399
"16",2014-12-01,2014-01-01,"indus",1537960,9546,49689,5305,-9988,-45732,-2497,6323,1537187,1496106,42110,178394,32670,-63591,-266591,-24143,-101151
"17",2007-11-01,2007-01-01,"luxus",78916,1320,1655,1371,-1034,-1647,-65,1600,80516,71236,8878,15799,4847,-3481,-12721,-4042,9280
"18",2008-11-01,2008-01-01,"luxus",91269,5163,2351,922,-561,-2592,-156,5127,96396,82472,13090,15983,5968,-2496,-13595,-5026,13924
"19",2009-11-01,2009-01-01,"luxus",98986,4046,5173,1458,0,-1958,-765,7954,106940,85493,14727,21082,6390,-1347,-14495,-4910,21447
"20",2010-11-01,2010-01-01,"luxus",107844,3894,774,1483,-349,-3314,-135,2353,110197,81927,18761,19495,6323,-698,-12721,-2890,28270
"21",2011-11-01,2011-01-01,"luxus",123821,1807,458,683,0,-3463,-577,-1092,122729,98350,21902,13062,6547,-648,-14557,-2276,24030
"22",2012-11-01,2012-01-01,"luxus",105987,208,2506,645,0,-2376,-108,875,106862,85309,18552,10607,3988,-539,-10363,-1144,21101
"23",2013-12-01,2013-01-01,"luxus",107121,693,1228,1246,0,-3034,-836,-703,107007,92217,14579,7371,4645,0,-11616,-2345,12634
"24",2014-12-01,2014-01-01,"luxus",107007,1032,2087,1596,0,-3003,-192,1520,108077,100718,11660,6155,4387,-183,-13971,-2987,5061
"25",2011-11-01,2011-01-01,"midus",567080,4601,34621,747,-2807,-91434,-997,-55269,511811,539248,65649,142771,4849,-10949,-224463,-5727,-27870
"26",2012-11-01,2012-01-01,"midus",474069,3571,20253,1380,-1465,-25150,-1205,-2616,471719,509500,49219,130028,5352,-8586,-208103,-6607,-38697
"27",2013-12-01,2013-01-01,"midus",471393,5320,30347,1234,-1943,-29075,-1448,4435,473861,522464,39850,104082,7042,-7684,-227668,-7675,-92053
"28",2014-12-01,2014-01-01,"midus",473861,5522,27055,1373,-2326,-30789,-957,-122,483144,541595,26807,105024,6703,-9076,-226945,-8341,-105828
"29",2007-11-01,2007-01-01,"midwous",686938,39347,20642,909,-847,-27087,-212,32752,719690,619626,132759,103584,7417,-4431,-133414,-5851,100064
"30",2008-11-01,2008-01-01,"midwous",724999,52697,15409,1231,-410,-22107,-275,46545,771544,650536,164146,103788,7843,-4765,-144210,-5794,121008
"31",2009-11-01,2009-01-01,"midwous",769362,59842,13213,1398,-1168,-21360,-164,51761,821123,655910,204521,105996,8523,-5437,-142834,-5556,165213
"32",2010-11-01,2010-01-01,"midwous",821752,30660,11068,1893,-1496,-20802,-915,20408,841678,666959,211798,99715,8076,-5650,-135356,-3382,175201
"33",2007-11-01,2007-01-01,"midwus",536344,5321,27240,1119,-4157,-45267,-1079,-16823,519521,597193,23545,156877,11575,-28936,-224410,-16323,-77672
"34",2008-11-01,2008-01-01,"midwus",517718,8983,34201,993,-2670,-43900,-1157,-3550,514168,578286,27900,161940,11352,-24548,-225556,-15206,-64118
"35",2009-11-01,2009-01-01,"midwus",512785,8272,34139,966,-2721,-41091,-1359,-1794,510991,565955,33443,166951,10358,-21239,-231930,-12547,-54964
"36",2010-11-01,2010-01-01,"midwus",510961,4851,35611,1012,-3262,-46477,-1880,-10145,500413,551616,30351,165685,7176,-16065,-230231,-8038,-51122
"37",2011-11-01,2011-01-01,"upmus",772955,15363,78436,1842,-4063,-40199,-1246,50133,823252,686002,164410,168094,8465,-10424,-186337,-6294,137914
"38",2012-11-01,2012-01-01,"upmus",998973,16401,24808,1424,-2873,-29960,-1680,8120,1007660,842951,169655,178052,9009,-11552,-202829,-7189,135146
"39",2013-12-01,2013-01-01,"upmus",871298,22259,23715,3613,-1181,-36546,-1717,10143,875268,759700,134618,153015,12813,-7050,-176375,-15169,101852
"40",2014-12-01,2014-01-01,"upmus",877335,25855,26026,2881,-1993,-38591,-1848,12330,876164,794415,104402,144155,13431,-7379,-180274,-15552,58783
"41",2007-11-01,2007-01-01,"upsus",405092,22825,22082,1004,-724,-23313,-230,21644,426736,380389,80975,69566,8872,-6277,-99412,-7377,46347
"42",2008-11-01,2008-01-01,"upsus",428004,29721,18394,1974,-690,-22290,-648,26461,454465,390492,98926,79584,10516,-5700,-112234,-7119,63973
"43",2009-11-01,2009-01-01,"upsus",458533,41006,16702,913,-359,-10316,-404,47542,506075,391130,126681,89691,10502,-5080,-100894,-5955,114945
"44",2010-11-01,2010-01-01,"upsus",529112,19135,14129,544,-1851,-6886,-311,24760,553872,419249,132590,93884,6995,-4547,-90801,-3498,134623
"45",2011-11-01,2011-01-01,"upsus",564118,8955,10528,1680,-765,-13163,-198,7037,570948,440481,123365,78855,5807,-2638,-72208,-2507,130674
"46",2012-11-01,2012-01-01,"upsus",572341,10050,24978,3006,-775,-21867,-249,15143,587115,467745,110491,80575,7443,-2969,-72772,-2822,119946
"47",2013-12-01,2013-01-01,"upsus",588347,18571,13920,4113,-626,-10256,-2250,23472,612480,491602,101990,69407,10800,-2251,-60502,-10931,108513
"48",2014-12-01,2014-01-01,"upsus",607435,24270,8526,3167,-274,-7491,-1329,26869,631245,539803,79348,58135,11911,-2525,-57587,-11807,77475
"49",2007-11-01,2007-01-01,"upuus",541226,6928,16071,3126,-2671,-8452,-1325,13677,554903,514409,36831,73716,17853,-9828,-66415,-11663,40494
"50",2008-11-01,2008-01-01,"upuus",548180,13195,13643,2269,-840,-6912,-657,20698,568878,515734,43564,75409,17115,-8466,-63155,-11323,53144
