sourcemonth,srcm_month,open_year,segment,hori,horitext,rmsincns,rmsfnlpl,rmsplnnn,rmstotal,open,close,adds,drop,cin,cout,netchg
2007-12-01,Dec,2008-01-01,luxus,1,Yr1 (Next year),4234,0,0,4234,6050,0,631,115,3277,2254,7589
2007-12-01,Dec,2008-01-01,upuus,1,Yr1 (Next year),20201,1130,1722,23053,15204,119,1838,528,11309,5620,22084
2007-12-01,Dec,2008-01-01,upsus,1,Yr1 (Next year),39606,15520,7330,62456,32990,236,519,869,14616,19677,28342
2007-12-01,Dec,2008-01-01,midwus,1,Yr1 (Next year),10203,1414,3049,14666,NA,NA,NA,NA,NA,NA,NA
2007-12-01,Dec,2008-01-01,midwous,1,Yr1 (Next year),50671,19632,16587,86890,NA,NA,NA,NA,NA,NA,NA
2007-12-01,Dec,2008-01-01,ecous,1,Yr1 (Next year),10952,4896,1444,17292,11530,3312,1349,3155,43437,36151,13698
2007-12-01,Dec,2008-01-01,indus,1,Yr1 (Next year),30930,2933,7068,40931,24362,22782,9279,5091,67945,53086,20627
2007-12-01,Dec,2008-01-01,totus,1,Yr1 (Next year),166797,45525,37200,249522,153904,28919,15802,11305,188106,188106,129482
2007-12-01,Dec,2009-01-01,luxus,2,Yr2 (Year after next),3096,0,1815,4911,5569,0,526,135,2786,1231,7515
2007-12-01,Dec,2009-01-01,upuus,2,Yr2 (Year after next),6924,5439,8695,21058,11067,0,2099,430,7647,5025,15358
2007-12-01,Dec,2009-01-01,upsus,2,Yr2 (Year after next),7596,9475,38219,55290,38977,70,1106,672,16786,11644,44483
2007-12-01,Dec,2009-01-01,midwus,2,Yr2 (Year after next),968,1043,6888,8899,NA,NA,NA,NA,NA,NA,NA
2007-12-01,Dec,2009-01-01,midwous,2,Yr2 (Year after next),4197,7161,30945,42303,NA,NA,NA,NA,NA,NA,NA
2007-12-01,Dec,2009-01-01,ecous,2,Yr2 (Year after next),363,1073,1125,2561,10379,3028,1016,3795,40114,37147,7539
2007-12-01,Dec,2009-01-01,indus,2,Yr2 (Year after next),7084,4242,12899,24225,18093,24668,4700,5268,54852,55683,-7974
2007-12-01,Dec,2009-01-01,totus,2,Yr2 (Year after next),30228,28433,100586,159247,149236,30705,11174,12152,170830,170830,117553
2007-12-01,Dec,2010-01-01,luxus,3,Yr3,1367,200,225,1792,6686,0,818,190,1048,2145,6217
2007-12-01,Dec,2010-01-01,upuus,3,Yr3,3275,751,5346,9372,6367,0,206,258,7804,6191,7928
2007-12-01,Dec,2010-01-01,upsus,3,Yr3,164,661,2328,3153,18338,840,252,961,11924,7196,21517
2007-12-01,Dec,2010-01-01,midwus,3,Yr3,0,0,120,120,NA,NA,NA,NA,NA,NA,NA
2007-12-01,Dec,2010-01-01,midwous,3,Yr3,0,0,738,738,NA,NA,NA,NA,NA,NA,NA
2007-12-01,Dec,2010-01-01,ecous,3,Yr3,0,0,100,100,3966,4098,934,3341,39408,39604,-2735
2007-12-01,Dec,2010-01-01,indus,3,Yr3,9821,1125,11626,22572,5812,21131,4047,5358,72361,49065,6666
2007-12-01,Dec,2010-01-01,totus,3,Yr3,14627,2737,20483,37847,74544,28634,7165,13174,180739,180739,39901
2007-12-01,Dec,2011-01-01,luxus,4,Yr4 and later,0,0,2940,2940,1283,0,301,395,932,3358,-1237
2007-12-01,Dec,2011-01-01,upuus,4,Yr4 and later,0,1415,7360,8775,4073,0,1555,663,10596,6480,9081
2007-12-01,Dec,2011-01-01,upsus,4,Yr4 and later,0,783,7473,8256,8174,126,588,414,14332,14631,6924
2007-12-01,Dec,2011-01-01,midwus,4,Yr4 and later,0,538,1447,1985,NA,NA,NA,NA,NA,NA,NA
2007-12-01,Dec,2011-01-01,midwous,4,Yr4 and later,0,617,5993,6610,NA,NA,NA,NA,NA,NA,NA
2007-12-01,Dec,2011-01-01,ecous,4,Yr4 and later,0,922,2299,3221,1942,3858,1440,3346,41245,38692,-1269
2007-12-01,Dec,2011-01-01,indus,4,Yr4 and later,42,3015,134182,137239,5888,20258,4566,4501,72401,58028,68
2007-12-01,Dec,2011-01-01,totus,4,Yr4 and later,42,7290,161694,169026,37964,27755,10085,12301,241029,241029,10990
2008-12-01,Dec,2009-01-01,luxus,1,Yr1 (Next year),5749,430,0,6179,5569,0,526,135,2786,1231,7515
2008-12-01,Dec,2009-01-01,upuus,1,Yr1 (Next year),11821,880,500,13201,11067,0,2099,430,7647,5025,15358
2008-12-01,Dec,2009-01-01,upsus,1,Yr1 (Next year),44499,14857,4743,64099,38977,70,1106,672,16786,11644,44483
2008-12-01,Dec,2009-01-01,midwus,1,Yr1 (Next year),7873,4214,615,12702,NA,NA,NA,NA,NA,NA,NA
2008-12-01,Dec,2009-01-01,midwous,1,Yr1 (Next year),56603,25712,4887,87202,NA,NA,NA,NA,NA,NA,NA
2008-12-01,Dec,2009-01-01,ecous,1,Yr1 (Next year),10241,2711,1013,13965,10379,3028,1016,3795,40114,37147,7539
