sourcemonth,srcm_month,open_year,segment,hori,horitext,rmsincns,rmsfnlpl,rmsplnnn,rmstotal,open,close,adds,drop,cin,cout,netchg
2007-12-01,Dec,2008-01-01,luxus,1,Yr1 (Next year),4234,0,0,4234,6050,0,631,115,3277,2254,7589
2007-12-01,Dec,2008-01-01,upuus,1,Yr1 (Next year),20201,1130,1722,23053,15204,119,1838,901,11309,5620,21711
2007-12-01,Dec,2008-01-01,upsus,1,Yr1 (Next year),39606,15520,7330,62456,32990,236,519,495,15615,19677,28716
2007-12-01,Dec,2008-01-01,midwus,1,Yr1 (Next year),10203,1414,3049,14666,NA,NA,NA,NA,NA,NA,NA
2007-12-01,Dec,2008-01-01,midwous,1,Yr1 (Next year),50671,19632,16587,86890,NA,NA,NA,NA,NA,NA,NA
2007-12-01,Dec,2008-01-01,ecous,1,Yr1 (Next year),10952,4896,1444,17292,11437,3276,1253,3155,42758,35761,13256
2007-12-01,Dec,2008-01-01,indus,1,Yr1 (Next year),30930,2933,7068,40931,24480,23071,9260,5142,67981,53098,20410
2007-12-01,Dec,2008-01-01,totus,1,Yr1 (Next year),166797,45525,37200,249522,154086,29172,15763,11341,188154,188154,129336
2007-12-01,Dec,2009-01-01,luxus,2,Yr2 (Year after next),3096,0,1815,4911,5598,0,526,135,2786,1231,7544
2007-12-01,Dec,2009-01-01,upuus,2,Yr2 (Year after next),6924,5439,8695,21058,11067,0,2302,430,7647,5025,15561
2007-12-01,Dec,2009-01-01,upsus,2,Yr2 (Year after next),7596,9475,38219,55290,38977,70,909,456,16930,11644,44646
2007-12-01,Dec,2009-01-01,midwus,2,Yr2 (Year after next),968,1043,6888,8899,NA,NA,NA,NA,NA,NA,NA
2007-12-01,Dec,2009-01-01,midwous,2,Yr2 (Year after next),4197,7161,30945,42303,NA,NA,NA,NA,NA,NA,NA
2007-12-01,Dec,2009-01-01,ecous,2,Yr2 (Year after next),363,1073,1125,2561,10382,2884,968,3798,39176,36199,7645
2007-12-01,Dec,2009-01-01,indus,2,Yr2 (Year after next),7084,4242,12899,24225,18114,24264,4704,5573,54880,55807,-7946
2007-12-01,Dec,2009-01-01,totus,2,Yr2 (Year after next),30228,28433,100586,159247,149290,30157,11184,12465,171126,171126,117852
2007-12-01,Dec,2010-01-01,luxus,3,Yr3,1367,200,225,1792,6686,0,818,193,1048,2145,6214
2007-12-01,Dec,2010-01-01,upuus,3,Yr3,3275,751,5346,9372,6529,0,206,265,7804,6191,8083
2007-12-01,Dec,2010-01-01,upsus,3,Yr3,164,661,2328,3153,18338,840,252,961,11924,7196,21517
2007-12-01,Dec,2010-01-01,midwus,3,Yr3,0,0,120,120,NA,NA,NA,NA,NA,NA,NA
2007-12-01,Dec,2010-01-01,midwous,3,Yr3,0,0,738,738,NA,NA,NA,NA,NA,NA,NA
2007-12-01,Dec,2010-01-01,ecous,3,Yr3,0,0,100,100,3966,4098,931,3162,38914,38903,-2352
2007-12-01,Dec,2010-01-01,indus,3,Yr3,9821,1125,11626,22572,5668,21204,4087,5367,72514,49065,6633
2007-12-01,Dec,2010-01-01,totus,3,Yr3,14627,2737,20483,37847,74562,28245,7210,13234,181199,181199,40293
2007-12-01,Dec,2011-01-01,luxus,4,Yr4 and later,0,0,2940,2940,1283,0,302,397,932,3358,-1238
2007-12-01,Dec,2011-01-01,upuus,4,Yr4 and later,0,1415,7360,8775,4290,0,1685,658,10596,6480,9433
2007-12-01,Dec,2011-01-01,upsus,4,Yr4 and later,0,783,7473,8256,7957,126,458,414,14332,14631,7576
2007-12-01,Dec,2011-01-01,midwus,4,Yr4 and later,0,538,1447,1985,NA,NA,NA,NA,NA,NA,NA
2007-12-01,Dec,2011-01-01,midwous,4,Yr4 and later,0,617,5993,6610,NA,NA,NA,NA,NA,NA,NA
2007-12-01,Dec,2011-01-01,ecous,4,Yr4 and later,0,922,2299,3221,1942,3727,1438,3417,40459,38376,-1681
2007-12-01,Dec,2011-01-01,indus,4,Yr4 and later,42,3015,134182,137239,5758,20495,4726,4501,72441,58028,-99
2007-12-01,Dec,2011-01-01,totus,4,Yr4 and later,42,7290,161694,169026,40831,27861,10247,12375,241065,241065,10842
2008-12-01,Dec,2009-01-01,luxus,1,Yr1 (Next year),5749,430,0,6179,5598,0,526,135,2786,1231,7544
2008-12-01,Dec,2009-01-01,upuus,1,Yr1 (Next year),11821,880,500,13201,11067,0,2302,430,7647,5025,15561
2008-12-01,Dec,2009-01-01,upsus,1,Yr1 (Next year),44499,14857,4743,64099,38977,70,909,456,16930,11644,44646
2008-12-01,Dec,2009-01-01,midwus,1,Yr1 (Next year),7873,4214,615,12702,NA,NA,NA,NA,NA,NA,NA
2008-12-01,Dec,2009-01-01,midwous,1,Yr1 (Next year),56603,25712,4887,87202,NA,NA,NA,NA,NA,NA,NA
2008-12-01,Dec,2009-01-01,ecous,1,Yr1 (Next year),10241,2711,1013,13965,10382,2884,968,3798,39176,36199,7645
2008-12-01,Dec,2009-01-01,indus,1,Yr1 (Next year),18470,7168,2256,27894,18114,24264,4704,5573,54880,55807,-7946
2008-12-01,Dec,2009-01-01,totus,1,Yr1 (Next year),155256,55972,14014,225242,149290,30157,11184,12465,171126,171126,117852
2008-12-01,Dec,2010-01-01,luxus,2,Yr2 (Year after next),1229,150,1837,3216,6686,0,818,193,1048,2145,6214
2008-12-01,Dec,2010-01-01,upuus,2,Yr2 (Year after next),5635,1668,8951,16254,6529,0,206,265,7804,6191,8083
2008-12-01,Dec,2010-01-01,upsus,2,Yr2 (Year after next),7554,10274,58023,75851,18338,840,252,961,11924,7196,21517
2008-12-01,Dec,2010-01-01,midwus,2,Yr2 (Year after next),630,299,14050,14979,NA,NA,NA,NA,NA,NA,NA
2008-12-01,Dec,2010-01-01,midwous,2,Yr2 (Year after next),2384,5185,70574,78143,NA,NA,NA,NA,NA,NA,NA
2008-12-01,Dec,2010-01-01,ecous,2,Yr2 (Year after next),201,0,1068,1269,3966,4098,931,3162,38914,38903,-2352
2008-12-01,Dec,2010-01-01,indus,2,Yr2 (Year after next),7261,1993,8432,17686,5668,21204,4087,5367,72514,49065,6633
2008-12-01,Dec,2010-01-01,totus,2,Yr2 (Year after next),24894,19569,162935,207398,74562,28245,7210,13234,181199,181199,40293
2008-12-01,Dec,2011-01-01,luxus,3,Yr3,517,225,2005,2747,1283,0,302,397,932,3358,-1238
2008-12-01,Dec,2011-01-01,upuus,3,Yr3,1530,502,3408,5440,4290,0,1685,658,10596,6480,9433
2008-12-01,Dec,2011-01-01,upsus,3,Yr3,0,844,1295,2139,7957,126,458,414,14332,14631,7576
2008-12-01,Dec,2011-01-01,midwus,3,Yr3,0,0,245,245,NA,NA,NA,NA,NA,NA,NA
2008-12-01,Dec,2011-01-01,midwous,3,Yr3,0,0,109,109,NA,NA,NA,NA,NA,NA,NA
2008-12-01,Dec,2011-01-01,ecous,3,Yr3,0,0,102,102,1942,3727,1438,3417,40459,38376,-1681
2008-12-01,Dec,2011-01-01,indus,3,Yr3,2350,445,4850,7645,5758,20495,4726,4501,72441,58028,-99
2008-12-01,Dec,2011-01-01,totus,3,Yr3,4397,2016,12014,18427,40831,27861,10247,12375,241065,241065,10842
2008-12-01,Dec,2012-01-01,luxus,4,Yr4 and later,0,0,1211,1211,276,0,273,306,3216,2117,1342
2008-12-01,Dec,2012-01-01,upuus,4,Yr4 and later,0,830,6368,7198,2779,692,622,1026,8741,14045,-3621
2008-12-01,Dec,2012-01-01,upsus,4,Yr4 and later,287,921,8482,9690,9412,222,420,327,26808,23157,12934
2008-12-01,Dec,2012-01-01,midwus,4,Yr4 and later,0,543,2092,2635,NA,NA,NA,NA,NA,NA,NA
2008-12-01,Dec,2012-01-01,midwous,4,Yr4 and later,185,1789,8267,10241,NA,NA,NA,NA,NA,NA,NA
2008-12-01,Dec,2012-01-01,ecous,4,Yr4 and later,0,4527,3029,7556,3391,3752,1914,3423,52180,62725,-12415
