"sourcemonth","srcm_month","yrofchange","segment","pryearsupply","newbuild","convertin","rmadditions","rmclosures","convertout","rmsremoved","gainloss","supe","fiveyrprsupply","fiveyrnewbuild","fiveyrconvertin","fiveyrrmadditions","fiveyrclosures","fiveyrconvertout","fiveyrrmsremoved","fiveyrgainloss"
2007-11-01,"Nov",2007-01-01,"ecous",735164,8866,46536,1740,-4219,-34089,-2027,16807,751971,748172,32433,207617,8247,-24646,-204231,-15621,3799
2008-04-01,"Apr",2008-01-01,"ecous",735080,10385,42610,1465,-5010,-32031,-2041,15378,750458,733311,33799,206397,8449,-24667,-190431,-16400,17147
2008-11-01,"Nov",2008-01-01,"ecous",745675,11391,36214,1582,-3606,-30512,-2334,12735,758410,730233,36484,208059,8472,-24009,-184060,-16769,28177
2009-04-01,"Apr",2009-01-01,"ecous",749950,12036,35248,1185,-3653,-31780,-2391,10645,760595,729094,39797,208003,8634,-23932,-184086,-16915,31501
2009-11-01,"Nov",2009-01-01,"ecous",756271,9607,34097,1041,-3182,-30180,-2416,8967,765238,732994,41534,200515,8421,-22676,-178774,-16776,32244
2010-04-01,"Apr",2010-01-01,"ecous",757656,7244,33328,1574,-3347,-29303,-2244,7252,764428,727061,41882,197088,9186,-22272,-171582,-16649,37653
2010-11-01,"Nov",2010-01-01,"ecous",767915,4086,31879,1464,-3878,-33425,-2536,-2410,765021,732644,40478,193043,8382,-19771,-175286,-14231,32615
2011-04-01,"Apr",2011-01-01,"ecous",784029,2915,34283,1240,-3628,-33259,-2668,-1117,782975,740430,39907,196272,8718,-19737,-167904,-14527,42729
2011-11-01,"Nov",2011-01-01,"ecous",782921,1745,35287,1645,-2435,-28664,-2403,5175,788230,748295,37895,195956,8243,-18571,-168952,-14452,40119
2012-04-01,"Apr",2012-01-01,"ecous",786175,2006,36965,2045,-4711,-37436,-2342,-3473,783012,754051,35949,194651,8337,-20474,-175188,-14490,28785
2012-11-01,"Nov",2012-01-01,"ecous",783690,2731,46192,1837,-4935,-43501,-2878,-554,783245,764069,31995,197247,8593,-20437,-182760,-15531,19107
2013-04-01,"Apr",2013-01-01,"ecous",775813,3051,55726,1489,-4686,-61698,-2833,-8951,766764,768984,28661,207607,8295,-20742,-211063,-15047,-2289
2013-12-01,"Dec",2013-01-01,"ecous",772098,3298,62973,2180,-5598,-54712,-2588,5553,772313,771350,23995,182653,13233,-19947,-251356,-18294,-69716
2014-05-01,"May",2014-01-01,"ecous",766505,3664,47927,2157,-5394,-47993,-2752,-2391,769922,775114,20267,181566,13136,-20466,-259236,-17085,-81818
2014-12-01,"Dec",2014-01-01,"ecous",772313,4326,45509,1728,-3568,-48754,-2490,-3249,774363,779013,16550,187505,13191,-20617,-269773,-17376,-90520
2015-12-01,"Dec",2015-01-01,"ecous",770398,4290,43367,1561,-3297,-40767,-2344,2810,784149,773404,16377,194779,13072,-20982,-266029,-17598,-80381
2007-11-01,"Nov",2007-01-01,"indus",1467436,9328,66013,10590,-15202,-54394,-4251,12084,1479520,1462148,56900,339289,49445,-163592,-217527,-47143,17372
2008-04-01,"Apr",2008-01-01,"indus",1468787,16013,67223,9390,-12168,-55823,-3572,21063,1489850,1467843,64752,343291,53774,-161195,-228682,-49933,22007
